cohort_id,week,model,term,estimate,std.error,statistic,p.value,fit
STAT0002_2021,6,OLS (grade points),z_cum_freq,1.308088617944176,1.2542695679314468,1.0429086787950121,0.29773593418053784,0.09149937679381256
STAT0002_2021,6,OLS (grade points),z_cum_imm,1.9773837769595537,1.19047288142696,1.6610069895833015,0.09763930204656239,0.09149937679381256
STAT0002_2021,6,OLS (grade points),z_cum_div,1.2414084419530211,1.30105749571479,0.9541534067800761,0.34068786941035667,0.09149937679381256
STAT0002_2021,6,Fractional logit (log-odds),z_cum_freq,0.06392220309805367,0.05809132238243387,1.1003743842709113,0.2719520889149517,0.0901248464614599
STAT0002_2021,6,Fractional logit (log-odds),z_cum_imm,0.08425151838909797,0.0533202182357822,1.580104530265376,0.1150182534262052,0.0901248464614599
STAT0002_2021,6,Fractional logit (log-odds),z_cum_div,0.06173017099087289,0.0599687995988404,1.0293714632244624,0.30404119393105505,0.0901248464614599
STAT0002_2021,6,Beta regression (log-odds),z_cum_freq,0.050253336785616616,0.057925481164267545,0.8675514777875745,0.38563991920695373,0.09639790529739889
STAT0002_2021,6,Beta regression (log-odds),z_cum_imm,0.1254393415389385,0.05362187413150246,2.3393315427825336,0.019318281448288618,0.09639790529739889
STAT0002_2021,6,Beta regression (log-odds),z_cum_div,0.04651732412116491,0.05988541280508296,0.7767722044861084,0.43729317847115107,0.09639790529739889
STAT0002_2021,11,OLS (grade points),z_cum_freq,0.9969354706033985,1.3230015564778494,0.7535406634422125,0.45164966072992263,0.10551100937133094
STAT0002_2021,11,OLS (grade points),z_cum_imm,3.2243615918407644,1.26777903148111,2.543315129667222,0.011425676880486763,0.10551100937133094
STAT0002_2021,11,OLS (grade points),z_cum_div,0.49709963406498786,1.3737375877582476,0.3618592360686488,0.7176833391141978,0.10551100937133094
STAT0002_2021,11,Fractional logit (log-odds),z_cum_freq,0.050112369947960894,0.061164729552604366,0.8193017497913082,0.41319158952190504,0.10248169314549127
STAT0002_2021,11,Fractional logit (log-odds),z_cum_imm,0.1352240484196849,0.056613666602668394,2.3885407276078343,0.017463715931313097,0.10248169314549127
STAT0002_2021,11,Fractional logit (log-odds),z_cum_div,0.03020340925321863,0.06350075283260817,0.4756386012121249,0.6346391202924642,0.10248169314549127
STAT0002_2021,11,Beta regression (log-odds),z_cum_freq,0.031826035737861684,0.060957108448815786,0.5221054040741654,0.6015969440531452,0.11087915458324658
STAT0002_2021,11,Beta regression (log-odds),z_cum_imm,0.1858994433755255,0.056926598369513186,3.265599011710547,0.0010923281027994047,0.11087915458324658
STAT0002_2021,11,Beta regression (log-odds),z_cum_div,0.011237830393068129,0.0633127795117285,0.17749703108495424,0.8591179970605125,0.11087915458324658
STAT0002_2223,6,OLS (grade points),z_cum_freq,1.9710744526862614,1.3688370623403185,1.4399628026700926,0.1510671901829069,0.15572410191486152
STAT0002_2223,6,OLS (grade points),z_cum_imm,0.04310903362119686,1.232843678276659,0.03496715307934027,0.9721324570851413,0.15572410191486152
STAT0002_2223,6,OLS (grade points),z_cum_div,3.351018463202242,1.4397766777351522,2.3274571084687787,0.02070022399520049,0.15572410191486152
STAT0002_2223,6,Fractional logit (log-odds),z_cum_freq,0.09787981206338353,0.06556601213117424,1.4928437597754287,0.13667671686759184,0.16010188936597758
STAT0002_2223,6,Fractional logit (log-odds),z_cum_imm,-0.009108360121895323,0.05603951582094204,-0.16253459703325127,0.8710096951287772,0.16010188936597758
STAT0002_2223,6,Fractional logit (log-odds),z_cum_div,0.16763108662844647,0.06887310044796825,2.433912304486527,0.015602815921814138,0.16010188936597758
STAT0002_2223,6,Beta regression (log-odds),z_cum_freq,0.08864039065772222,0.06270879371532463,1.413524091375728,0.15750168293070319,0.1601581267961626
STAT0002_2223,6,Beta regression (log-odds),z_cum_imm,-0.01571376129699165,0.054263131255072976,-0.2895844919661284,0.7721341324998237,0.1601581267961626
STAT0002_2223,6,Beta regression (log-odds),z_cum_div,0.16432733807492242,0.06593629213409215,2.4922138136117225,0.012694959023921478,0.1601581267961626
STAT0002_2223,11,OLS (grade points),z_cum_freq,0.6014439897893674,1.475653713700317,0.40757800031634767,0.6839150830545665,0.18525642982988713
STAT0002_2223,11,OLS (grade points),z_cum_imm,2.632197421877048,1.414418647757854,1.8609747729568082,0.06386354964552343,0.18525642982988713
STAT0002_2223,11,OLS (grade points),z_cum_div,2.6659617549070007,1.5190595019104949,1.7550081162417053,0.08042228132293029,0.18525642982988713
STAT0002_2223,11,Fractional logit (log-odds),z_cum_freq,0.03323973270482845,0.0709582246235064,0.4684408732207357,0.6398573510036336,0.18825964718110944
STAT0002_2223,11,Fractional logit (log-odds),z_cum_imm,0.10467218523368235,0.06439680606090116,1.6254251046968398,0.10526969101749495,0.18825964718110944
STAT0002_2223,11,Fractional logit (log-odds),z_cum_div,0.14140517188702173,0.07329992433459166,1.9291312122172257,0.054790454413276714,0.18825964718110944
STAT0002_2223,11,Beta regression (log-odds),z_cum_freq,0.025011159634201193,0.06796188208287766,0.36801746608048264,0.7128602107060079,0.18595417009512166
STAT0002_2223,11,Beta regression (log-odds),z_cum_imm,0.09165935146780343,0.06243039404964067,1.4681847337840246,0.14205404991689016,0.18595417009512166
STAT0002_2223,11,Beta regression (log-odds),z_cum_div,0.14611177112113413,0.07024965141315755,2.0798931835520515,0.037535331392858466,0.18595417009512166
STAT0004_2021,6,OLS (grade points),z_cum_freq,1.0212901528038305,1.195128266811099,0.8545443875483658,0.39346760892601174,0.0885786813333239
STAT0004_2021,6,OLS (grade points),z_cum_imm,0.4404756268652952,1.1251658634263686,0.39147617358737985,0.69571599218005,0.0885786813333239
STAT0004_2021,6,OLS (grade points),z_cum_div,2.3907725052811077,1.3017407144992021,1.8365965500286832,0.06723304013124227,0.0885786813333239
STAT0004_2021,6,Fractional logit (log-odds),z_cum_freq,0.04560198161610944,0.051857437664615806,0.8793720567344058,0.3798851348458523,0.08724040130931965
STAT0004_2021,6,Fractional logit (log-odds),z_cum_imm,0.01805314438426851,0.0480892012847106,0.3754095285838797,0.7076143199288296,0.08724040130931965
STAT0004_2021,6,Fractional logit (log-odds),z_cum_div,0.10468957106809729,0.05635992748454214,1.8575178454019576,0.06419179136400313,0.08724040130931965
STAT0004_2021,6,Beta regression (log-odds),z_cum_freq,0.04689669600104166,0.05283037315208591,0.8876843603969515,0.3747105609174232,0.08307207176369417
STAT0004_2021,6,Beta regression (log-odds),z_cum_imm,0.02081151065305937,0.04912823333017148,0.42361610101453095,0.6718458110118047,0.08307207176369417
STAT0004_2021,6,Beta regression (log-odds),z_cum_div,0.09830197919847734,0.057430046122891404,1.7116820520764746,0.08695527793788932,0.08307207176369417
STAT0004_2021,11,OLS (grade points),z_cum_freq,-0.15810154026664838,1.1825989854432088,-0.13368990013753126,0.8937351014449898,0.10117962693800808
STAT0004_2021,11,OLS (grade points),z_cum_imm,1.34639052513645,1.1573245881179035,1.1633646592837146,0.24558206332154164,0.10117962693800808
STAT0004_2021,11,OLS (grade points),z_cum_div,2.8683563108667043,1.2585379877628071,2.2791177848874713,0.023344055340972857,0.10117962693800808
STAT0004_2021,11,Fractional logit (log-odds),z_cum_freq,-0.006625073754611079,0.051270884209429615,-0.12921707625616902,0.8972702250689593,0.09921437895568497
STAT0004_2021,11,Fractional logit (log-odds),z_cum_imm,0.055597355726083084,0.049557392467803336,1.1218781488998602,0.26278810422879784,0.09921437895568497
STAT0004_2021,11,Fractional logit (log-odds),z_cum_div,0.12703964245597024,0.05466078802264158,2.3241458283284886,0.02076795431471466,0.09921437895568497
STAT0004_2021,11,Beta regression (log-odds),z_cum_freq,-0.006325802070087351,0.0522641321210329,-0.1210352456525654,0.9036631184076356,0.09476478586875003
STAT0004_2021,11,Beta regression (log-odds),z_cum_imm,0.06164682468341541,0.05064068403778406,1.2173379142631533,0.22347567449910852,0.09476478586875003
STAT0004_2021,11,Beta regression (log-odds),z_cum_div,0.11821986747283249,0.055691126465640624,2.1227774508344663,0.03377250525751999,0.09476478586875003
STAT0004_2122,6,OLS (grade points),z_cum_freq,1.271935277978395,1.2393886257502915,1.026260247634918,0.30624430264394176,0.06897916770710535
STAT0004_2122,6,OLS (grade points),z_cum_imm,-0.48728999073967166,1.1208123278480886,-0.43476501697233066,0.6642909419319978,0.06897916770710535
STAT0004_2122,6,OLS (grade points),z_cum_div,1.5531420871476966,1.1955204559401327,1.2991346818288756,0.1956778062967035,0.06897916770710535
STAT0004_2122,6,Fractional logit (log-odds),z_cum_freq,0.06463867423034754,0.06248251726886826,1.0345081641349552,0.30238550337642817,0.06811107288520457
STAT0004_2122,6,Fractional logit (log-odds),z_cum_imm,-0.02595344338624747,0.05535894184998186,-0.4688211609351051,0.6398052518718694,0.06811107288520457
STAT0004_2122,6,Fractional logit (log-odds),z_cum_div,0.0797486683633012,0.06073743292094111,1.313006897527363,0.1909712637296095,0.06811107288520457
STAT0004_2122,6,Beta regression (log-odds),z_cum_freq,0.09557886639178512,0.06253738185783539,1.5283477426199594,0.1264262220782882,0.06834862052462298
STAT0004_2122,6,Beta regression (log-odds),z_cum_imm,-0.031207947617848935,0.05545994490745283,-0.5627114788867225,0.573631366489677,0.06834862052462298
STAT0004_2122,6,Beta regression (log-odds),z_cum_div,0.047744445132701104,0.06038271607419137,0.7906972100101989,0.4291207045588706,0.06834862052462298
STAT0004_2122,11,OLS (grade points),z_cum_freq,0.6100112670140891,1.2702342312262098,0.48023526056703725,0.6316848234798988,0.07822085953649378
STAT0004_2122,11,OLS (grade points),z_cum_imm,0.7679486497747982,1.2420203371317202,0.6183060186826512,0.5372109911505855,0.07822085953649378
STAT0004_2122,11,OLS (grade points),z_cum_div,1.249406771036283,1.2260593517740743,1.0190426501200172,0.30964796763690433,0.07822085953649378
STAT0004_2122,11,Fractional logit (log-odds),z_cum_freq,0.03154305002839926,0.06366319285382659,0.4954676103164265,0.6209175477560218,0.07670098316739327
STAT0004_2122,11,Fractional logit (log-odds),z_cum_imm,0.03653276758172571,0.061789863297141236,0.591242084580173,0.5551528935543685,0.07670098316739327
STAT0004_2122,11,Fractional logit (log-odds),z_cum_div,0.06391216931013888,0.06211019982094769,1.02901245680075,0.30495303324971185,0.07670098316739327
STAT0004_2122,11,Beta regression (log-odds),z_cum_freq,0.056797994496152956,0.0640017017896253,0.8874450664272794,0.37483932937400133,0.07011216724272988
STAT0004_2122,11,Beta regression (log-odds),z_cum_imm,0.028473075694565544,0.06215159368785886,0.45812301833424557,0.6468640624894682,0.07011216724272988
STAT0004_2122,11,Beta regression (log-odds),z_cum_div,0.03730940292067758,0.062138731381704296,0.6004210593147499,0.5482256563061729,0.07011216724272988
STAT0004_2223,6,OLS (grade points),z_cum_freq,1.8488339809835281,1.375306716242583,1.3443066620329238,0.18042719196774662,0.04034054106776725
STAT0004_2223,6,OLS (grade points),z_cum_imm,-0.41171745149568506,1.2791821618066317,-0.32185990689098004,0.7479071628081425,0.04034054106776725
STAT0004_2223,6,OLS (grade points),z_cum_div,0.8562694921003227,1.3302642118053933,0.6436837768778432,0.5205446507105773,0.04034054106776725
STAT0004_2223,6,Fractional logit (log-odds),z_cum_freq,0.09052068148419086,0.06720565936198239,1.3469205174616226,0.17958525208542184,0.04069653200500911
STAT0004_2223,6,Fractional logit (log-odds),z_cum_imm,-0.020720945518510125,0.06152680807952579,-0.33677914010633375,0.7366493214274579,0.04069653200500911
STAT0004_2223,6,Fractional logit (log-odds),z_cum_div,0.042621774214659666,0.06521543170230346,0.6535535087649237,0.5141773807167953,0.04069653200500911
STAT0004_2223,6,Beta regression (log-odds),z_cum_freq,0.07943851104873755,0.0653977278608407,1.2146983335227506,0.2244811683770095,0.03771842390217303
STAT0004_2223,6,Beta regression (log-odds),z_cum_imm,-0.030597517500593058,0.060055060811003466,-0.5094910751466076,0.6104080525404192,0.03771842390217303
STAT0004_2223,6,Beta regression (log-odds),z_cum_div,0.05561475110833376,0.06349655872366976,0.8758703184272272,0.3811005370729337,0.03771842390217303
STAT0004_2223,11,OLS (grade points),z_cum_freq,0.0831338070968338,1.4733820483411892,0.05642379530172109,0.9550625713324005,0.0534776992797522
STAT0004_2223,11,OLS (grade points),z_cum_imm,1.0245615690414165,1.5133258513546906,0.6770264104880355,0.4991998680897394,0.0534776992797522
STAT0004_2223,11,OLS (grade points),z_cum_div,1.6371207848003377,1.421967745606205,1.151306553794165,0.251030430994908,0.0534776992797522
STAT0004_2223,11,Fractional logit (log-odds),z_cum_freq,0.004461013323919992,0.07192818504674586,0.06202037936896081,0.9506107836811066,0.05380768123680835
STAT0004_2223,11,Fractional logit (log-odds),z_cum_imm,0.04778905116334806,0.0730662508565651,0.6540509551689165,0.5138575465578387,0.05380768123680835
STAT0004_2223,11,Fractional logit (log-odds),z_cum_div,0.08182879172847772,0.07028647853073783,1.1642181176098072,0.2457727590923612,0.05380768123680835
STAT0004_2223,11,Beta regression (log-odds),z_cum_freq,-0.003832752221547541,0.06985218911152924,-0.054869464655259284,0.9562424588925446,0.05774410550565088
STAT0004_2223,11,Beta regression (log-odds),z_cum_imm,0.0223142912872709,0.07111467205800096,0.3137790084874668,0.753688888581976,0.05774410550565088
STAT0004_2223,11,Beta regression (log-odds),z_cum_div,0.10889367302215387,0.06827986757306415,1.5948137700418086,0.11075388684878396,0.05774410550565088
