cohort_id,r,n,indicator,condition,year_label,module,yi,vi
STAT0002_2021,0.285,342,Frequency,online,2020-21,STAT0002,0.293,0.0029
STAT0002_2223,0.385,267,Frequency,in_person,2022-23,STAT0002,0.406,0.0038
STAT0004_2021,0.259,312,Frequency,online,2020-21,STAT0004,0.265,0.0032
STAT0004_2122,0.256,172,Frequency,hybrid,2021-22,STAT0004,0.262,0.0059
STAT0004_2223,0.196,197,Frequency,in_person,2022-23,STAT0004,0.199,0.0052
STAT0002_2021,0.319,342,Immediacy,online,2020-21,STAT0002,0.331,0.0029
STAT0002_2223,0.41,267,Immediacy,in_person,2022-23,STAT0002,0.436,0.0038
STAT0004_2021,0.286,312,Immediacy,online,2020-21,STAT0004,0.295,0.0032
STAT0004_2122,0.258,172,Immediacy,hybrid,2021-22,STAT0004,0.264,0.0059
STAT0004_2223,0.213,197,Immediacy,in_person,2022-23,STAT0004,0.217,0.0052
STAT0002_2021,0.282,342,Diversity,online,2020-21,STAT0002,0.29,0.0029
STAT0002_2223,0.412,267,Diversity,in_person,2022-23,STAT0002,0.438,0.0038
STAT0004_2021,0.311,312,Diversity,online,2020-21,STAT0004,0.322,0.0032
STAT0004_2122,0.268,172,Diversity,hybrid,2021-22,STAT0004,0.275,0.0059
STAT0004_2223,0.224,197,Diversity,in_person,2022-23,STAT0004,0.228,0.0052
STAT0002_2021,0.322,342,IDF,online,2020-21,STAT0002,0.334,0.0029
STAT0002_2223,0.428,267,IDF,in_person,2022-23,STAT0002,0.457,0.0038
STAT0004_2021,0.307,312,IDF,online,2020-21,STAT0004,0.318,0.0032
STAT0004_2122,0.276,172,IDF,hybrid,2021-22,STAT0004,0.283,0.0059
STAT0004_2223,0.226,197,IDF,in_person,2022-23,STAT0004,0.23,0.0052
