cohort_id,week,indicator,lmg_r2,model_r2,condition,module,year_label,lmg_share
STAT0002_2021,6,Frequency,0.028726420565024825,0.09149937679381259,online,STAT0002,2020-21,0.31395208985693723
STAT0002_2021,6,Immediacy,0.033745629761335445,0.09149937679381259,online,STAT0002,2020-21,0.36880720878983503
STAT0002_2021,6,Diversity,0.029027326467452378,0.09149937679381259,online,STAT0002,2020-21,0.3172407013532278
STAT0002_2021,11,Frequency,0.029491405180912002,0.10551100937133107,online,STAT0002,2020-21,0.27951021752735977
STAT0002_2021,11,Immediacy,0.04779890222844469,0.10551100937133107,online,STAT0002,2020-21,0.45302288844781385
STAT0002_2021,11,Diversity,0.028220701961974237,0.10551100937133107,online,STAT0002,2020-21,0.26746689402482643
STAT0002_2223,6,Frequency,0.05446292046033677,0.15572410191486175,in_person,STAT0002,2022-23,0.3497398269801101
STAT0002_2223,6,Immediacy,0.034405164338582615,0.15572410191486175,in_person,STAT0002,2022-23,0.22093666886191313
STAT0002_2223,6,Diversity,0.06685601711594233,0.15572410191486175,in_person,STAT0002,2022-23,0.42932350415797677
STAT0002_2223,11,Frequency,0.05165725660939633,0.18525642982988688,in_person,STAT0002,2022-23,0.2788419093298461
STAT0002_2223,11,Immediacy,0.06675633359664687,0.18525642982988688,in_person,STAT0002,2022-23,0.3603455688849578
STAT0002_2223,11,Diversity,0.06684283962384374,0.18525642982988688,in_person,STAT0002,2022-23,0.3608125217851961
STAT0004_2021,6,Frequency,0.027934236822165212,0.08857868133332392,online,STAT0004,2020-21,0.3153607211316226
STAT0004_2021,6,Immediacy,0.02251184390448653,0.08857868133332392,online,STAT0004,2020-21,0.25414516863006664
STAT0004_2021,6,Diversity,0.038132600606672125,0.08857868133332392,online,STAT0004,2020-21,0.4304941102383108
STAT0004_2021,11,Frequency,0.023158997060997843,0.1011796269380083,online,STAT0004,2020-21,0.22888992341498887
STAT0004_2021,11,Immediacy,0.0324554835900261,0.1011796269380083,online,STAT0004,2020-21,0.32077093553538466
STAT0004_2021,11,Diversity,0.045565146286984264,0.1011796269380083,online,STAT0004,2020-21,0.45033914104962647
STAT0004_2122,6,Frequency,0.026426453839886704,0.06897916770710522,hybrid,STAT0004,2021-22,0.38310775148950693
STAT0004_2122,6,Immediacy,0.012608215067091269,0.06897916770710522,hybrid,STAT0004,2021-22,0.18278293992510075
STAT0004_2122,6,Diversity,0.029944498800127287,0.06897916770710522,hybrid,STAT0004,2021-22,0.4341093085853924
STAT0004_2122,11,Frequency,0.02395518390984913,0.07822085953649394,hybrid,STAT0004,2021-22,0.3062505839465097
STAT0004_2122,11,Immediacy,0.02485950077956074,0.07822085953649394,hybrid,STAT0004,2021-22,0.31781165442144743
STAT0004_2122,11,Diversity,0.029406174847083896,0.07822085953649394,hybrid,STAT0004,2021-22,0.3759377616320428
STAT0004_2223,6,Frequency,0.02025633342582173,0.0403405410677673,in_person,STAT0004,2022-23,0.5021334094600652
STAT0004_2223,6,Immediacy,0.006927702481458469,0.0403405410677673,in_person,STAT0004,2022-23,0.17173052958860344
STAT0004_2223,6,Diversity,0.013156505160487013,0.0403405410677673,in_person,STAT0004,2022-23,0.3261360609513314
STAT0004_2223,11,Frequency,0.013220529153715667,0.05347769927975221,in_person,STAT0004,2022-23,0.24721574285678433
STAT0004_2223,11,Immediacy,0.017890629106963117,0.05347769927975221,in_person,STAT0004,2022-23,0.3345437322083316
STAT0004_2223,11,Diversity,0.022366541019073444,0.05347769927975221,in_person,STAT0004,2022-23,0.4182405249348841
