cohort_id,component,r_spearman,r_pearson,n,condition
STAT0002_2021,C1.Mark,0.21772838425855698,0.25156092063245045,342,online
STAT0002_2021,C2.Mark,0.16317262055128504,0.20892051559773242,342,online
STAT0002_2021,C3.Mark,0.31319226919687915,0.4148229560466206,342,online
STAT0002_2223,exam_grade,0.3899443906546806,0.40428422257442603,267,in_person
STAT0002_2223,participation_grade,0.32157812647505835,0.31296962997236927,267,in_person
STAT0002_2223,peer_marking_grade,0.14029914644446756,0.19709318885974125,267,in_person
STAT0004_2021,C1.Mark,0.22109557955569484,0.2476341700350554,312,online
STAT0004_2021,C2.Mark,0.24099081812961534,0.2614304803430893,312,online
STAT0004_2122,C1.Mark,0.13271064173086933,0.1599461589802626,172,hybrid
STAT0004_2122,C2.Mark,0.22373655992724015,0.2610060081467662,172,hybrid
STAT0004_2223,group_grade,0.10485998955827974,0.15407555084080762,197,in_person
STAT0004_2223,quiz_grade,0.22899421358363448,0.24551472657586532,197,in_person
